model,window,method,policy,residual_residency,nll,hbm_mib,dram_mib
mistral,14,paged_precision,recent,0.5,1.1942596701483907,208.25439453125,66.0
mistral,14,paged_precision,attention_ema,0.5,1.1942501555083442,208.25439453125,66.0
mistral,14,tq3,,,1.2077802671778262,208.2509765625,0.0
mistral,14,tq4,,1.0,1.1913108591191648,274.251953125,0.0
mistral,15,bf16,,,1.574067331111241,1056.0,0.0
mistral,15,tq2,,,1.744193929334756,142.25048828125,0.0
mistral,15,paged_precision,,0.0,1.759786859598023,142.25439453125,0.0
mistral,15,paged_precision,sink,0.1,1.7320563072030666,155.75439453125,118.5
mistral,15,paged_precision,recent,0.1,1.602605046770302,155.75439453125,118.5
mistral,15,paged_precision,attention_ema,0.1,1.6114966918749438,155.75439453125,118.5
mistral,15,paged_precision,sink,0.25,1.7157749963569984,175.25439453125,99.0
mistral,15,paged_precision,recent,0.25,1.5942336855807682,175.25439453125,99.0
mistral,15,paged_precision,attention_ema,0.25,1.60489970377348,175.25439453125,99.0
mistral,15,paged_precision,sink,0.5,1.7404049773979295,208.25439453125,66.0
mistral,15,paged_precision,recent,0.5,1.5812009858115843,208.25439453125,66.0
mistral,15,paged_precision,attention_ema,0.5,1.5879626113627978,208.25439453125,66.0
mistral,15,tq3,,,1.6023177520531284,208.2509765625,0.0
mistral,15,tq4,,1.0,1.5800085263863899,274.251953125,0.0
mistral,16,bf16,,,2.270019519700483,1056.0,0.0
mistral,16,tq2,,,2.4991352132452107,142.25048828125,0.0
mistral,16,paged_precision,,0.0,2.470252389518407,142.25439453125,0.0
mistral,16,paged_precision,sink,0.1,2.4589072028012993,155.75439453125,118.5
mistral,16,paged_precision,recent,0.1,2.3656133425884533,155.75439453125,118.5
mistral,16,paged_precision,attention_ema,0.1,2.3455565038402035,155.75439453125,118.5
mistral,16,paged_precision,sink,0.25,2.421281822229105,175.25439453125,99.0
mistral,16,paged_precision,recent,0.25,2.3785309302753994,175.25439453125,99.0
mistral,16,paged_precision,attention_ema,0.25,2.3159064235786566,175.25439453125,99.0
mistral,16,paged_precision,sink,0.5,2.3728206216484296,208.25439453125,66.0
mistral,16,paged_precision,recent,0.5,2.3551309885838663,208.25439453125,66.0
mistral,16,paged_precision,attention_ema,0.5,2.31508785522945,208.25439453125,66.0
mistral,16,tq3,,,2.312635279027262,208.2509765625,0.0
mistral,16,tq4,,1.0,2.276107013220173,274.251953125,0.0
mistral,17,bf16,,,1.1247416842651976,1056.0,0.0
mistral,17,tq2,,,1.2931827205159152,142.25048828125,0.0
mistral,17,paged_precision,,0.0,1.2944471928548182,142.25439453125,0.0
mistral,17,paged_precision,sink,0.1,1.2576663430757975,155.75439453125,118.5
mistral,17,paged_precision,recent,0.1,1.148030340289183,155.75439453125,118.5
mistral,17,paged_precision,attention_ema,0.1,1.14285386825952,155.75439453125,118.5
mistral,17,paged_precision,sink,0.25,1.2672721639497695,175.25439453125,99.0
mistral,17,paged_precision,recent,0.25,1.1653418716406856,175.25439453125,99.0
mistral,17,paged_precision,attention_ema,0.25,1.1418417511338905,175.25439453125,99.0
mistral,17,paged_precision,sink,0.5,1.2384800218719647,208.25439453125,66.0
mistral,17,paged_precision,recent,0.5,1.1594233109650194,208.25439453125,66.0
mistral,17,paged_precision,attention_ema,0.5,1.1537620063396083,208.25439453125,66.0
mistral,17,tq3,,,1.1414181450282008,208.2509765625,0.0
mistral,17,tq4,,1.0,1.1421228616484251,274.251953125,0.0
mistral,18,bf16,,,1.9854381395789744,1056.0,0.0
mistral,18,tq2,,,2.2379365044516817,142.25048828125,0.0
mistral,18,paged_precision,,0.0,2.269906270598284,142.25439453125,0.0
mistral,18,paged_precision,sink,0.1,2.2398489619131396,155.75439453125,118.5
mistral,18,paged_precision,recent,0.1,1.9993526487927369,155.75439453125,118.5
mistral,18,paged_precision,attention_ema,0.1,2.0035663878089167,155.75439453125,118.5
mistral,18,paged_precision,sink,0.25,2.2268992766457245,175.25439453125,99.0
mistral,18,paged_precision,recent,0.25,1.999676975292715,175.25439453125,99.0
mistral,18,paged_precision,attention_ema,0.25,2.0099631803208453,175.25439453125,99.0
mistral,18,paged_precision,sink,0.5,2.2286509910352947,208.25439453125,66.0
mistral,18,paged_precision,recent,0.5,2.002259397301259,208.25439453125,66.0
mistral,18,paged_precision,attention_ema,0.5,1.986358463720208,208.25439453125,66.0
mistral,18,tq3,,,1.977077016163399,208.2509765625,0.0
